title,type,attribute,id,old_link,new_link
Schweizerische Holzenergiestatistik,dataset,url,1c1afd74-493d-4c94-a35a-fd3a5bef9d15,http://www.bfe.admin.ch/ogd37,https://www.bfe.admin.ch/ogd37
Schweizerische Statistik der erneuerbaren Energien,dataset,url,fb59a755-aa03-40e6-b693-b81c2b0315cb,http://www.bfe.admin.ch/ogd38,https://www.bfe.admin.ch/ogd38
Stand der Energiepolitik in den Kantonen,dataset,url,cad2a885-739a-4ada-9e3c-e545fe277c4c,http://www.bfe.admin.ch/ogd39,https://www.bfe.admin.ch/ogd39
"Strom-Marktpreis gemäss Art. 3 b bis, Abs. 2 und 3, EnV",dataset,url,2b686dde-97a2-4b72-8ae5-2ce5ba4f975f,http://www.bfe.admin.ch/ogd42,https://www.bfe.admin.ch/ogd42
"Strom-Marktpreis gemäss Art. 3 f, Abs. 3 EnV",dataset,url,4aa5f3bc-bdef-48bd-b4dc-b9b65b8c5434,http://www.bfe.admin.ch/ogd43,https://www.bfe.admin.ch/ogd43
Teilstatistik Spezielle energetische Holznutzungen: Feuerungen und Motoren für erneuerbare Abfälle,dataset,url,88af6b12-f5ec-489c-8e69-d220ca01c2af,http://www.bfe.admin.ch/ogd44,https://www.bfe.admin.ch/ogd44
Thermische Stromproduktion inklusive Wärmekraftkopplung (WKK) in der Schweiz,dataset,url,962452a5-aada-45ff-9497-c7c6bdbbe956,http://www.bfe.admin.ch/ogd45,https://www.bfe.admin.ch/ogd45
Verkaufszahlenbasierte Energieeffizienzanalyse von Elektrogeräten,dataset,url,eb08e2e0-49c0-44cb-b7d3-a60495af7c3d,http://www.bfe.admin.ch/ogd46,https://www.bfe.admin.ch/ogd46
Energiestädte auf dem Weg in die 2000-Watt Gesellschaft,dataset,url,fdf08159-b7fd-44ba-aaf4-668154f41a43,http://www.bfe.admin.ch/geoinformation/05061/06360/index.html?lang=de,
Kennzahlen öffentliche Ladeinfrastruktur Elektromobilität,dataset,url,ff382622-8419-4b66-a157-1e47b9653883,http://www.uvek-gis.admin.ch/BFE/storymaps/MO_Kennzahlen_Elektromobilitaet/?lang=en,https://www.uvek-gis.admin.ch/BFE/storymaps/MO_Kennzahlen_Elektromobilitaet/?lang=en
Wochenstatistik Elektrizitätsbilanz - Erzeugung und Abgabe elektrischer Energie in der Schweiz,dataset,url,979f37ed-fcb5-4400-802b-be0bb2833ea4,http://www.bfe.admin.ch/ogd51,https://www.bfe.admin.ch/ogd51
