title,type,attribute,id,old_link,new_link
"Füllungsgrad der Speicherseen, Sonntag 24h, Wochenbericht Speicherinhalt",dataset,url,9eeece7f-56b1-4665-9696-9f07d36dc764,http://www.bfe.admin.ch/ogd17,https://www.bfe.admin.ch/ogd17
"Füllungsgrad der Speicherseen, Sonntag 24h, Wochenbericht Speicherinhalt",resources,url,39755250-3f71-41cb-85d8-3befda76563f,http://www.bfe.admin.ch/ogd17,https://www.bfe.admin.ch/ogd17
Gebäudeprogramm: Jahresbericht und Jahresstatistik,dataset,url,35c5cba4-3515-429c-910e-96b208eb8256,http://www.bfe.admin.ch/ogd18,-
Gebäudeprogramm: Jahresbericht und Jahresstatistik,resources,url,fce24a52-2405-46ec-9552-965b67eb0d47,http://www.bfe.admin.ch/ogd18,-
Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz,dataset,url,e8f750d0-505f-4ec9-ab56-46785599d13c,http://www.bfe.admin.ch/ogd19,https://www.bfe.admin.ch/ogd19
Gesamte Erzeugung und Abgabe elektrischer Energie in der Schweiz,resources,url,b3515866-2433-4757-900d-9ae1e73af448,http://www.bfe.admin.ch/ogd19,https://www.bfe.admin.ch/ogd19
Globalbeiträge an die Kantone nach Art. 15 EnG: Wirkungsanalyse kantonaler Förderprogramme - Ergebnisse,dataset,url,c0de8da9-b6cf-4421-a612-7bb339238fd7,http://www.bfe.admin.ch/ogd20,https://www.bfe.admin.ch/ogd20
Globalbeiträge an die Kantone nach Art. 15 EnG: Wirkungsanalyse kantonaler Förderprogramme - Ergebnisse,resources,url,9fca82ae-a354-4f48-81ce-a596a70f6cab,http://www.bfe.admin.ch/ogd20,https://www.bfe.admin.ch/ogd20
Impulsberatung erneuerbar heizen: EFH und MFH bis 6 Wohneinheiten,resources,url,a0726f47-bde7-4be4-9473-bb03872b94c1,http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,download_url,236081d0-89c7-46fb-834f-41b4f17b5831,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,download_url,0f9dae42-e0d9-4ac8-9901-69d1bd02ee8d,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/gpkg/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/gpkg/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,download_url,77e289ec-3184-4682-9ac1-477b00b601ad,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/xtf/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
Impulsberatung erneuerbar heizen: MFH mit mehr als 6 Wohneinheiten,resources,url,236081d0-89c7-46fb-834f-41b4f17b5831,http://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip,https://data.geo.admin.ch/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser/csv/2056/ch.bfe.erneuerbarheizen-mehrfamilienhaeuser.zip
